File,Stato,Totale feature,Feature invalide
B016_BORGOLAVEZZARO_ple.gml,Valido,4447,0
B018_BORGOMALE_ple.gml,Valido,2978,0
B019_BORGOMANERO_ple.gml,Valido,28727,0
B021_BORGOMASINO_ple.gml,Valido,7646,0
B024_BORGONE SUSA_ple.gml,Valido,5026,0
B029_BORGORATTO ALESSANDRINO_ple.gml,Valido,2285,0
B033_BORGO SAN DALMAZZO_ple.gml,Valido,15900,0
B037_BORGO SAN MARTINO_ple.gml,Valido,3200,0
B041_BORGOSESIA_ple.gml,Valido,26843,0
B043_BORGO TICINO_ple.gml,Valido,11348,0
B046_BORGO VERCELLI_ple.gml,Valido,4751,0
B058_BORRIANA_ple.gml,Contiene geometrie invalide,2257,1
B071_BOSCO MARENGO_ple.gml,Valido,7829,0
B075_BOSCONERO_ple.gml,Valido,6049,0
B079_BOSIA_ple.gml,Valido,2591,0
B080_BOSIO_ple.gml,Valido,10032,0
B084_BOSSOLASCO_ple.gml,Valido,5468,0
B101_BOVES_ple.gml,Valido,22736,0
B109_BOZZOLE_ple.gml,Valido,1268,0
B111_BRA_ple.gml,Valido,20894,0
B121_BRANDIZZO_ple.gml,Valido,5288,0
B167_BRIAGLIA_ple.gml,Valido,2693,0
B171_BRICHERASIO_ple.gml,Valido,11366,0
B175_BRIGA ALTA_ple.gml,Valido,6002,0
B176_BRIGA NOVARESE_ple.gml,Valido,5110,0
B179_BRIGNANO-FRASCATA_ple.gml,Valido,5944,0
B183_BRIONA_ple.gml,Valido,6196,0
B200_BRONDELLO_ple.gml,Valido,5764,0
B204_BROSSASCO_ple.gml,Valido,11603,0
B205_BROSSO_ple.gml,Valido,4768,0
B207_BROVELLO CARPUGNINO_ple.gml,Valido,6261,0
B209_BROZOLO_ple.gml,Valido,4049,0
B216_BRUINO_ple.gml,Valido,4498,0
B221_BRUNO_ple.gml,Valido,3488,0
B225_BRUSASCO_ple.gml,Valido,5871,0
B229_BRUSNENGO_ple.gml,Valido,7804,0
B232_BRUZOLO_ple.gml,Valido,8258,0
B236_BUBBIO_ple.gml,Valido,5123,0
B278_BURIASCO_ple.gml,Valido,2965,0
B279_BUROLO_ple.gml,Valido,5163,0
B280_BURONZO_ple.gml,Contiene geometrie invalide,2663,1
B284_BUSANO_ple.gml,Valido,4293,0
B285_BUSCA_ple.gml,Contiene geometrie invalide,21826,2
B297_BUSSOLENO_ple.gml,Valido,19967,0
B305_BUTTIGLIERA ALTA_ple.gml,Valido,6581,0
B306_BUTTIGLIERA D`ASTI_ple.gml,Valido,8484,0
B311_CABELLA LIGURE_ple.gml,Valido,26449,0
B350_CAFASSE_ple.gml,Valido,7519,0
B376_CALAMANDRANA_ple.gml,Valido,6045,0
B380_CALASCA CASTIGLIONE_ple.gml,Valido,34621,0
B417_CALLABIANA_ple.gml,Valido,3782,0
B418_CALLIANO MONFERRATO_ple.gml,Valido,8006,0
B425_CALOSSO_ple.gml,Contiene geometrie invalide,6604,2
B431_CALTIGNAGA_ple.gml,Contiene geometrie invalide,3714,1
B435_CALUSO_ple.gml,Valido,20055,0
B453_CAMAGNA MONFERRATO_ple.gml,Valido,3693,0
B457_CAMANDONA_ple.gml,Valido,3473,0
B462_CAMBIANO_ple.gml,Valido,7402,0
B463_CAMBIASCA_ple.gml,Valido,4273,0
B465_CAMBURZANO_ple.gml,Valido,3548,0
B467_CAMERANA_ple.gml,Valido,11631,0
B469_CAMERANO CASASCO_ple.gml,Valido,3697,0
B473_CAMERI_ple.gml,Valido,14363,0
B482_CAMINO_ple.gml,Contiene geometrie invalide,6713,1
B505_CAMPERTOGNO_ple.gml,Valido,4897,0
B510_VALPRATO SOANA_ple.gml,Valido,7262,0
B512_CAMPIGLIONE FENILE_ple.gml,Valido,3356,0
B573_CANALE_ple.gml,Valido,11976,0
B586_CANDELO_ple.gml,Valido,10418,0
B588_CANDIA CANAVESE_ple.gml,Valido,6271,0
B592_CANDIOLO_ple.gml,Valido,2531,0
B594_CANELLI_ple.gml,Valido,12511,0
B605_CANISCHIO_ple.gml,Valido,8322,0
B610_CANNERO RIVIERA_ple.gml,Valido,6712,0
B615_CANNOBIO_ple.gml,Valido,23851,0
B621_CANOSIO_ple.gml,Valido,2335,0
B628_CANTALUPA_ple.gml,Valido,7171,0
B629_CANTALUPO LIGURE_ple.gml,Valido,11504,0
B633_CANTARANA_ple.gml,Valido,4592,0
B637_CANTOIRA_ple.gml,Valido,9648,0
B692_CAPRAUNA_ple.gml,Valido,6519,0
B694_CAPREZZO_ple.gml,Valido,4957,0
B701_CAPRIATA D`ORBA_ple.gml,Valido,10372,0
B705_CAPRIE_ple.gml,Valido,10854,0
B707_CAPRIGLIO_ple.gml,Valido,2893,0
B708_CAPRILE_ple.gml,Valido,4328,0
B719_CARAGLIO_ple.gml,Valido,12978,0
B720_CARAMAGNA PIEMONTE_ple.gml,Valido,8357,0
B733_CARAVINO_ple.gml,Valido,10792,0
B736_CARBONARA SCRIVIA_ple.gml,Valido,2018,0
B752_CARCOFORO_ple.gml,Contiene geometrie invalide,2235,1
B755_CARDE_ple.gml,Valido,3244,0
B762_CAREMA_ple.gml,Valido,8319,0
B765_CARENTINO_ple.gml,Valido,2416,0
B767_CARESANA_ple.gml,Valido,4880,0
B768_CARESANABLOT_ple.gml,Valido,1336,0
B769_CAREZZANO_ple.gml,Valido,4125,0
B777_CARIGNANO_ple.gml,Valido,13631,0
B782_CARISIO_ple.gml,Contiene geometrie invalide,3797,1
B791_CARMAGNOLA_ple.gml,Valido,24281,0
B818_CARPENETO_ple.gml,Valido,4804,0
B823_CARPIGNANO SESIA_ple.gml,Contiene geometrie invalide,7180,1
B836_CARREGA LIGURE_ple.gml,Valido,34427,0
B840_CARROSIO_ple.gml,Valido,2592,0
B841_CARRU_ple.gml,Valido,13056,0
B845_CARTIGNANO_ple.gml,Valido,3122,0
B847_CARTOSIO_ple.gml,Valido,5587,0
B864_CASALBELTRAME_ple.gml,Valido,1644,0
B867_CASALBORGONE_ple.gml,Valido,9516,0
B870_CASAL CERMELLI_ple.gml,Valido,3002,0
B876_CASALE CORTE CERRO_ple.gml,Valido,7350,0
B882_CASALEGGIO BOIRO_ple.gml,Valido,1839,0
B883_CASALEGGIO NOVARA_ple.gml,Valido,1613,0
B885_CASALE MONFERRATO_ple.gml,Valido,23623,0
B894_CASALGRASSO_ple.gml,Valido,5290,0
B897_CASALINO_ple.gml,Valido,3520,0
B902_CASALNOCETO_ple.gml,Valido,3047,0
B920_CASALVOLONE_ple.gml,Valido,3338,0
B928_CASANOVA ELVO_ple.gml,Valido,736,0
B933_CASAPINTA_ple.gml,Valido,4458,0
B941_CASASCO_ple.gml,Valido,3490,0
B952_SAN GIACOMO VERCELLESE_ple.gml,Valido,2210,0
B953_CASCINETTE D`IVREA_ple.gml,Valido,2693,0
B955_CASELETTE_ple.gml,Valido,4561,0
B960_CASELLE TORINESE_ple.gml,Valido,8585,0
B991_CASORZO MONFERRATO_ple.gml,Valido,4938,0
C022_CASSINASCO_ple.gml,Valido,4457,0
C027_CASSINE_ple.gml,Valido,12798,0
C030_CASSINELLE_ple.gml,Valido,7731,0
C045_CASTAGNETO PO_ple.gml,Valido,5768,0
C046_CASTAGNITO_ple.gml,Valido,4625,0
C047_CASTAGNOLE MONFERRATO_ple.gml,Contiene geometrie invalide,9336,1
C048_CASTAGNOLE PIEMONTE_ple.gml,Valido,3805,0
C049_CASTAGNOLE LANZE_ple.gml,Contiene geometrie invalide,11421,1
C064_CASTEL BOGLIONE_ple.gml,Valido,3781,0
C081_CASTELDELFINO_ple.gml,Valido,7447,0
C127_CASTELL ALFERO_ple.gml,Valido,9335,0
C133_CASTELLAMONTE_ple.gml,Valido,38093,0
C137_CASTELLANIA_ple.gml,Valido,2461,0
C142_CASTELLAR GUIDOBONO_ple.gml,Valido,864,0
C148_CASTELLAZZO BORMIDA_ple.gml,Valido,12368,0
C149_CASTELLAZZO NOVARESE_ple.gml,Valido,1240,0
C154_CASTELLERO_ple.gml,Valido,2187,0
C155_CASTELLETTO CERVO_ple.gml,Valido,6360,0
C156_CASTELLETTO D`ERRO_ple.gml,Valido,1773,0
C158_CASTELLETTO D`ORBA_ple.gml,Valido,9321,0
C160_CASTELLETTO MERLI_ple.gml,Valido,4254,0
C161_CASTELLETTO MOLINA_ple.gml,Valido,1306,0
C162_CASTELLETTO MONFERRATO_ple.gml,Valido,3491,0
C165_CASTELLETTO STURA_ple.gml,Valido,3700,0
