File,Stato,Totale feature,Feature invalide
H929_SAN GIULIANO DI PUGLIA_ple.gml,Valido,9220,0
H990_SAN MARTINO IN PENSILIS_ple.gml,Valido,11786,0
I023_SAN MASSIMO_ple.gml,Valido,6756,0
I096_SAN PIETRO AVELLANA_ple.gml,Contiene geometrie invalide,12733,2
I122_SAN POLO MATESE_ple.gml,Valido,6184,0
I181_SANTA CROCE DI MAGLIANO_ple.gml,Valido,9525,0
I189_SANT`AGAPITO_ple.gml,Valido,12898,0
I238_SANTA MARIA DEL MOLISE_ple.gml,Valido,13717,0
I282_SANT`ANGELO DEL PESCO_ple.gml,Contiene geometrie invalide,5767,1
I289_SANT`ANGELO LIMOSANO_ple.gml,Valido,7420,0
I320_SANT`ELIA A PIANISI_ple.gml,Valido,16742,0
I507_SCAPOLI_ple.gml,Valido,11660,0
I618_SEPINO_ple.gml,Valido,21770,0
I679_SESSANO DEL MOLISE_ple.gml,Valido,21685,0
I682_SESTO CAMPANO_ple.gml,Valido,10691,0
I910_SPINETE_ple.gml,Valido,14788,0
L069_TAVENNA_ple.gml,Valido,7496,0
L113_TERMOLI_ple.gml,Valido,19298,0
L215_TORELLA DEL SANNIO_ple.gml,Valido,11656,0
L230_TORO_ple.gml,Valido,10142,0
L435_TRIVENTO_ple.gml,Valido,27298,0
L458_TUFARA_ple.gml,Valido,10424,0
L505_URURI_ple.gml,Valido,4961,0
L696_VASTOGIRARDI_ple.gml,Valido,10150,0
L725_VENAFRO_ple.gml,Contiene geometrie invalide,15688,1
M057_VINCHIATURO_ple.gml,Valido,14949,0
