File,Feature ID,Messaggio di errore
A080_AGNONE_ple.gml,52111,Troppi pochi punti nella geometria
C246_CASTELPETROSO_ple.gml,24790,Auto intersezione
F495_MONTEFALCONE NEL SANNIO_ple.gml,15694,Troppi pochi punti nella geometria
H420_ROCCAMANDOLFI_ple.gml,4357,Auto intersezione
H589_ROTELLO_ple.gml,2938,Auto intersezione
I096_SAN PIETRO AVELLANA_ple.gml,15,Auto intersezione
I096_SAN PIETRO AVELLANA_ple.gml,1506,Auto intersezione
I282_SANT`ANGELO DEL PESCO_ple.gml,963,Auto intersezione
L725_VENAFRO_ple.gml,7829,Auto intersezione
